TVD,PP
3500.5,1295.95997
3501,1297.57168
3501.5,1310.398545
3502,1335.073695
3502.5,1362.553595
3503,1379.381089
3503.5,1379.334086
3504,1367.825937
3504.5,1356.729753
3505,1353.551505
3505.5,1356.942487
3506,1360.752638
3506.5,1360.127616
3507,1356.243108
3507.5,1355.358983
3508,1363.270018
3508.5,1379.269407
3509,1396.624149
3509.5,1409.759278
3510,1419.514192
3510.5,1431.521005
3511,1449.744198
3511.5,1473.997885
3512,1502.618403
3512.5,1535.781606
3513,1574.882666
3513.5,1618.452076
3514,1660.98732
3514.5,1696.079072
3515,1720.640017
3515.5,1735.143708
3516,1741.24281
3516.5,1739.855906
3517,1731.487502
3517.5,1716.536957
3518,1694.875604
3518.5,1666.818133
3519,1634.406737
3519.5,1600.857769
3520,1568.290779
3520.5,1536.707464
3521,1505.521021
3521.5,1475.231743
3522,1446.664136
3522.5,1420.113651
3523,1396.101861
3523.5,1376.498041
3524,1363.347095
3524.5,1356.197284
3525,1352.70818
3525.5,1352.752905
3526,1361.427102
3526.5,1385.797066
3527,1427.847854
3527.5,1481.365135
3528,1536.051811
3528.5,1584.257425
3529,1623.340318
3529.5,1653.783682
3530,1675.846137
3530.5,1688.238937
3531,1689.310143
3531.5,1678.907363
3532,1659.41587
3532.494681,1634.70542
3532.989362,1608.092796
3533.484043,1580.732094
3533.978723,1552.51275
3534.473404,1524.555183
3534.968085,1499.793416
3535.462766,1480.652245
3535.957447,1466.043996
3536.452128,1451.452293
3536.946809,1432.634815
3537.441489,1409.308936
3537.93617,1385.397172
3538.430851,1365.560685
3538.925532,1350.893087
3539.420213,1336.879811
3539.914894,1315.663084
3540.409574,1281.624953
3540.904255,1236.260138
3541.398936,1189.403491
3541.893617,1155.078597
3542.388298,1142.064814
3542.882979,1148.368594
3543.37766,1165.158946
3543.87234,1185.302468
3544.367021,1207.684081
3544.861702,1234.151573
3545.356383,1264.136007
3545.851064,1291.746137
3546.345745,1310.496526
3546.840426,1318.976172
3547.335106,1322.006711
3547.829787,1326.931644
3548.324468,1337.647336
3548.819149,1353.29747
3549.31383,1372.539493
3549.808511,1398.719797
3550.303191,1437.377754
3550.797872,1489.416262
3551.292553,1547.341321
3551.787234,1598.541943
3552.281915,1634.428078
3552.776596,1655.15138
3553.271277,1666.51344
3553.765957,1673.062298
3554.260638,1675.079675
3554.755319,1671.445426
3555.25,1663.977228
3555.744681,1659.307698
3556.239362,1664.179487
3556.734043,1679.63731
3557.228723,1700.011783
3557.723404,1717.27131
3558.218085,1726.962924
