,P
3200.5,896.7898536
3201,902.7446883
3201.5,907.685023
3202,907.5771561
3202.5,901.8355034
3203,894.6153561
3203.5,892.6735358
3204,900.3298734
3204.5,915.3940181
3205,930.268177
3205.5,938.2971481
3206,939.1664424
3206.5,938.042491
3207,939.1051009
3207.5,940.0711391
3208,934.3079441
3208.5,917.6540459
3209,891.8463204
3209.5,860.9613218
3210,826.3203202
3210.5,786.6375946
3211,742.9645379
3211.5,702.1153746
3212,673.6425744
3212.5,663.2842825
3213,669.1086421
3213.5,683.3908604
3214,698.0596608
3214.5,708.7977196
3215,715.4329981
3215.5,719.4823176
3216,722.2473067
3216.5,725.2263013
3217,731.6239269
3217.5,746.1906595
3218,771.39428
3218.5,804.4535602
3219,838.5055441
3219.5,868.4210414
3220,895.4102176
3220.5,924.8118807
3221,959.815298
3221.5,997.4784564
3222,1031.645621
3222.5,1058.148251
3223,1077.376612
3223.5,1092.830152
3224,1108.05343
3224.5,1124.459173
3225,1139.922136
3225.5,1148.939036
3226,1145.132097
3226.5,1125.754195
3227,1095.025085
3227.5,1063.241311
3228,1041.78612
3228.5,1037.156387
3229,1048.945147
3229.5,1071.854662
3230,1098.550802
3230.5,1122.353013
3231,1139.238675
3231.5,1149.203937
3232,1154.922123
3232.5,1158.713105
3233,1159.734967
3233.5,1153.991424
3234,1137.54852
3234.5,1110.315012
3235,1078.780749
3235.5,1054.840934
3236,1049.656893
3236.5,1065.387991
3237,1092.511211
3237.5,1116.1387
3238,1125.260827
3238.5,1117.040662
3239,1094.846361
3239.5,1064.00329
3240,1029.619111
3240.5,996.8821496
3241,970.2324768
3241.5,950.698926
3242,934.7744884
3242.5,917.5058261
3243,897.5438603
3243.5,879.8502257
3244,873.1109431
3244.5,883.1875532
3245,908.4684155
3245.5,941.1377972
3246,972.7773284
3246.5,999.4816129
3247,1021.353661
3247.5,1038.341459
3248,1050.114543
3248.5,1060.073379
3249,1076.785588
3249.5,1108.282274
3250,1154.175216
3250.5,1204.581434
3251,1248.379115
3251.494681,1280.890292
3251.989362,1304.28266
3252.484043,1323.711971
3252.978723,1343.11643
3253.473404,1363.29118
3253.968085,1382.34266
3254.462766,1398.025736
3254.957447,1409.058287
3255.452128,1415.405439
3255.946809,1418.073104
3256.441489,1419.026666
3256.93617,1422.318412
3257.430851,1433.515052
3257.925532,1455.33662
3258.420213,1483.470757
3258.914894,1508.75584
3259.409574,1524.218902
3259.904255,1529.786697
3260.398936,1531.070145
3260.893617,1533.713411
3261.388298,1539.82714
3261.882979,1548.509155
3262.37766,1557.40461
3262.87234,1563.10123
3263.367021,1562.287261
3263.861702,1554.2937
3264.356383,1541.937836
3264.851064,1530.276784
3265.345745,1523.361125
3265.840426,1522.211104
3266.335106,1524.677098
3266.829787,1526.778706
3267.324468,1524.605334
3267.819149,1515.779561
3268.31383,1500.561868
3268.808511,1480.767044
3269.303191,1458.110436
3269.797872,1433.404001
3270.292553,1406.967712
3270.787234,1379.464567
3271.281915,1351.842058
3271.776596,1325.346274
3272.271277,1301.747508
3272.765957,1284.324962
3273.260638,1276.802548
3273.755319,1279.798445
3274.25,1289.157506
3274.744681,1298.353676
3275.239362,1303.168956
3275.734043,1303.458397
3276.228723,1301.406018
3276.723404,1298.802834
3277.218085,1296.701077
3277.712766,1296.58128
3278.207447,1299.98916
3278.702128,1307.545583
3279.196809,1318.356714
3279.691489,1330.792823
3280.18617,1343.632011
3280.680851,1356.384064
3281.175532,1368.886618
3281.670213,1380.982127
3282.164894,1392.61402
3282.659574,1403.912435
3283.154255,1414.854738
3283.648936,1424.939471
3284.143617,1433.315796
3284.638298,1439.280702
3285.132979,1442.768963
3285.62766,1444.421894
3286.12234,1445.173122
3286.617021,1445.356852
3287.111702,1444.233044
3287.606383,1440.398893
3288.101064,1432.803078
3288.595745,1421.624772
3289.090426,1408.134498
3289.585106,1393.851347
3290.079787,1379.716584
3290.574468,1365.907449
3291.069149,1352.179382
3291.56383,1338.345766
3292.058511,1324.486724
3292.553191,1310.766932
3293.047872,1297.222789
3293.542553,1283.905575
3294.037234,1271.3147
3294.531915,1260.498269
3295.026596,1252.146584
3295.521277,1244.763601
3296.015957,1234.208628
3296.510638,1216.44092
3297.005319,1191.292306
3297.5,1163.134326
3297.994681,1137.248497
3298.489362,1115.349053
3298.984043,1095.08821
3299.478723,1073.54145
3299.973404,1050.139031
3300.468085,1026.375117
3300.962766,1004.034533
3301.457447,984.1394941
3301.952128,967.1278025
3302.446809,953.5556557
3302.941489,944.5062641
3303.43617,941.2783657
3303.930851,944.4778312
3304.425532,953.2649023
3304.920213,966.0653725
3305.414894,982.9747265
3305.909574,1006.911546
3306.404255,1041.037228
3306.898936,1084.43774
3307.393617,1131.528055
3307.888298,1176.25775
3308.382979,1216.57731
3308.87766,1254.341078
3309.37234,1291.608895
