Stage,OWHP,ISIP
1,1391,3175
1.2,1876,2793
2,2250,2688
3,2100,3608
4,2350,2677
5,2213,2522
6,2102,2745
7,2284,3002
8,2385,3203
9,2270,2768
10,2201,2759
11,2316,2856
12,2353,2912
13,2420,2793
14,2127,3974
15,2275,2725
16,2200,2885
17,2237,3014
18,2343,2749
19,2357,2747
20,2333,2745
21,2115,2811
22,2327,3270
23,2401,2990
24,2347,2927
25,2319,2858
26,2277,2792
27,2337,2920
28,2546,2826
29,2200,2626
30,2330,2901
31,2307,2709
32,2191,3044
33,2244,3068
34,2219,2945
35,2091,2773
36,2162,2909
37,2132,2860
38,2220,3586
39,2350,2985
40,2200,2702
