,TVD,PP,FP,PP_ED,FP_ED,PP_ED_SF,FP_ED_SF,MW
0,0,,,8.35,13.1,8.85,12.6,9
1,0.5,,,8.35,13.1,8.85,12.6,9
2,1,,,8.35,13.1,8.85,12.6,9
3,1.5,,,8.35,13.1,8.85,12.6,9
4,2,,,8.35,13.1,8.85,12.6,9
5,2.5,,,8.35,13.1,8.85,12.6,9
6,3,,,8.35,13.1,8.85,12.6,9
7,3.5,,,8.35,13.1,8.85,12.6,9
8,4,,,8.35,13.1,8.85,12.6,9
9,4.5,,,8.35,13.1,8.85,12.6,9
10,5,,,8.35,13.1,8.85,12.6,9
11,5.5,,,8.35,13.1,8.85,12.6,9
12,6,,,8.35,13.1,8.85,12.6,9
13,6.5,,,8.35,13.1,8.85,12.6,9
14,7,,,8.35,13.1,8.85,12.6,9
15,7.5,,,8.35,13.1,8.85,12.6,9
16,8,,,8.35,13.1,8.85,12.6,9
17,8.5,,,8.35,13.1,8.85,12.6,9
18,9,,,8.35,13.1,8.85,12.6,9
19,9.5,,,8.35,13.1,8.85,12.6,9
20,10,,,8.35,13.1,8.85,12.6,9
21,10.5,,,8.35,13.1,8.85,12.6,9
22,11,,,8.35,13.1,8.85,12.6,9
23,11.5,,,8.35,13.1,8.85,12.6,9
24,12,,,8.35,13.1,8.85,12.6,9
25,12.5,,,8.35,13.1,8.85,12.6,9
26,13,,,8.35,13.1,8.85,12.6,9
27,13.5,,,8.35,13.1,8.85,12.6,9
28,14,,,8.35,13.1,8.85,12.6,9
29,14.5,,,8.35,13.1,8.85,12.6,9
30,15,,,8.35,13.1,8.85,12.6,9
31,15.5,,,8.35,13.1,8.85,12.6,9
32,16,,,8.35,13.1,8.85,12.6,9
33,16.5,,,8.35,13.1,8.85,12.6,9
34,17,,,8.35,13.1,8.85,12.6,9
35,17.5,,,8.35,13.1,8.85,12.6,9
36,18,,,8.35,13.1,8.85,12.6,9
37,18.5,,,8.35,13.1,8.85,12.6,9
38,19,,,8.35,13.1,8.85,12.6,9
39,19.5,,,8.35,13.1,8.85,12.6,9
40,20,,,8.35,13.1,8.85,12.6,9
41,20.5,,,8.35,13.1,8.85,12.6,9
42,21,,,8.35,13.1,8.85,12.6,9
43,21.5,,,8.35,13.1,8.85,12.6,9
44,22,,,8.35,13.1,8.85,12.6,9
45,22.5,,,8.35,13.1,8.85,12.6,9
46,23,,,8.35,13.1,8.85,12.6,9
47,23.5,,,8.35,13.1,8.85,12.6,9
48,24,,,8.35,13.1,8.85,12.6,9
49,24.5,,,8.35,13.1,8.85,12.6,9
50,25,,,8.35,13.1,8.85,12.6,9
51,25.5,,,8.35,13.1,8.85,12.6,9
52,26,,,8.35,13.1,8.85,12.6,9
53,26.5,,,8.35,13.1,8.85,12.6,9
54,27,,,8.35,13.1,8.85,12.6,9
55,27.5,,,8.35,13.1,8.85,12.6,9
56,28,,,8.35,13.1,8.85,12.6,9
57,28.5,,,8.35,13.1,8.85,12.6,9
58,29,,,8.35,13.1,8.85,12.6,9
59,29.5,,,8.35,13.1,8.85,12.6,9
60,30,,,8.35,13.1,8.85,12.6,9
61,30.5,,,8.35,13.1,8.85,12.6,9
62,31,,,8.35,13.1,8.85,12.6,9
63,31.5,,,8.35,13.1,8.85,12.6,9
64,32,,,8.35,13.1,8.85,12.6,9
65,32.5,,,8.35,13.1,8.85,12.6,9
66,33,,,8.35,13.1,8.85,12.6,9
67,33.5,,,8.35,13.1,8.85,12.6,9
68,34,,,8.35,13.1,8.85,12.6,9
69,34.5,,,8.35,13.1,8.85,12.6,9
70,35,,,8.35,13.1,8.85,12.6,9
71,35.5,,,8.35,13.1,8.85,12.6,9
72,36,,,8.35,13.1,8.85,12.6,9
73,36.5,,,8.35,13.1,8.85,12.6,9
74,37,,,8.35,13.1,8.85,12.6,9
75,37.5,,,8.35,13.1,8.85,12.6,9
76,38,,,8.35,13.1,8.85,12.6,9
77,38.5,,,8.35,13.1,8.85,12.6,9
78,39,,,8.35,13.1,8.85,12.6,9
79,39.5,,,8.35,13.1,8.85,12.6,9
80,40,,,8.35,13.1,8.85,12.6,9
81,40.5,,,8.35,13.1,8.85,12.6,9
82,41,,,8.35,13.1,8.85,12.6,9
83,41.5,,,8.35,13.1,8.85,12.6,9
84,42,,,8.35,13.1,8.85,12.6,9
85,42.5,,,8.35,13.1,8.85,12.6,9
86,43,,,8.35,13.1,8.85,12.6,9
87,43.5,,,8.35,13.1,8.85,12.6,9
88,44,,,8.35,13.1,8.85,12.6,9
89,44.5,,,8.35,13.1,8.85,12.6,9
90,45,,,8.35,13.1,8.85,12.6,9
91,45.5,,,8.35,13.1,8.85,12.6,9
92,46,,,8.35,13.1,8.85,12.6,9
93,46.5,,,8.35,13.1,8.85,12.6,9
94,47,,,8.35,13.1,8.85,12.6,9
95,47.5,,,8.35,13.1,8.85,12.6,9
96,48,,,8.35,13.1,8.85,12.6,9
97,48.5,,,8.35,13.1,8.85,12.6,9
98,49,,,8.35,13.1,8.85,12.6,9
99,49.5,,,8.35,13.1,8.85,12.6,9
100,50,,,8.35,13.1,8.85,12.6,9
101,50.5,,,8.35,13.1,8.85,12.6,9
102,51,,,8.35,13.1,8.85,12.6,9
103,51.5,,,8.35,13.1,8.85,12.6,9
104,52,,,8.35,13.1,8.85,12.6,9
105,52.5,,,8.35,13.1,8.85,12.6,9
106,53,,,8.35,13.1,8.85,12.6,9
107,53.5,,,8.35,13.1,8.85,12.6,9
108,54,,,8.35,13.1,8.85,12.6,9
109,54.5,,,8.35,13.1,8.85,12.6,9
110,55,,,8.35,13.1,8.85,12.6,9
111,55.5,,,8.35,13.1,8.85,12.6,9
112,56,,,8.35,13.1,8.85,12.6,9
113,56.5,,,8.35,13.1,8.85,12.6,9
114,57,,,8.35,13.1,8.85,12.6,9
115,57.5,,,8.35,13.1,8.85,12.6,9
